   128.0.113.132   199610  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   128.0.113.129   199610  1.084               (Singapore, Singapore, SG, AS)                                                                                                     
   103.231.152.96  *       0.882               (Singapore, Singapore, SG, AS)                                                                                                     
   45.11.107.69    57695   0.904                       (Singapore, 4, SG, AS) v3538.cr02.sin03.sg.misaka.io                                                                       
   45.11.107.19    969     0.986               (Singapore, Singapore, SG, AS) e34-10.spine1.sin03.sg.misaka.io                                                                    
   194.156.163.7   57695   0.841               (Singapore, Singapore, SG, AS) po27.1004.sin03.sg.misaka.io                                                                        
╭─ 194.156.163.49  57695   0.805               (Singapore, Singapore, SG, AS) user-194-156-163-49.sin03.sg.misaka.io                                                              
S (57695, 7545)  australia-singapore-cable-asc ✓ || indigo-west ✓ || seamewe-3 ✓
╰─ 203.192.83.254  7545    85.307               (Melbourne, Victoria, AU, OC) ip-254-83-192-203.static.pipenetworks.com                                                           
   103.179.37.157  151332  85.732               (Melbourne, Victoria, AU, OC)                                                                                                     
