   63.218.212.242  3491    0.0               (El Segundo, California, US, NA) yomura.ge-0-0-0-10.br03.lax05.as3491.net                                                            
   63.218.212.241  3491    0.805            (Los Angeles, California, US, NA) ge-0-0-0-10.br03.lax05.as3491.net                                                                   
   63.223.46.26    3491    82.756                         (Miami, FL, US, NA) HundredGE0-4-0-0.br03.mia02.pccwbtn.net                                                             
   63.217.112.146  3491    83.553                        (None, None, US, NA) 63-217-112-146.static.pccwglobal.net                                                                
   69.79.100.5     23520   83.806                    (Boca Raton, FL, US, NA) ae2.brx-mx2020-2.boca-raton.fl.usa.cwc.com                                                          
   69.79.100.123   23520   84.863                        (None, None, US, NA) ae8.miami.fl.usa.nam-edge04.cwc.com                                                                 
╭─ 63.245.74.127   23520   89.871                    (Miami, Florida, US, NA)                                                                                                     
S&T (23520, 64150)  maya-1 👍
╰─ 45.68.34.250    64150   107.387   (San Pedro Sula, Cortés Department, HN, NA)                                                                                                     
   45.68.35.213    64150   107.347   (San Pedro Sula, Cortés Department, HN, NA)                                                                                                     
