   63.222.106.8    3491    0.0                         (Seoul, Seoul, KR, AS) 63-222-106-8.static.pccwglobal.net                                                                  
   63.222.106.2    3491    0.68                 (Yongsan-dong, Seoul, KR, AS) 63-222-106-2.static.pccwglobal.net                                                                  
   203.231.99.89   9848    0.282                (Yongsan-dong, Seoul, KR, AS)                                                                                                     
   211.239.235.82  9848    0.349                (Yongsan-dong, Seoul, KR, AS)                                                                                                     
   103.126.234.1   131866  1.368                (Yongsan-dong, Seoul, KR, AS)                                                                                                     
   162.158.14.5    13335   1.252                (Yongsan-dong, Seoul, KR, AS)                                                                                                     
   162.158.15.24   13335   0.795                       (Seoul, Seoul, KR, AS)                                                                                                     
   162.158.15.84   13335   0.969                       (Seoul, Seoul, KR, AS)                                                                                                     
   162.158.15.18   13335   1.029                       (Seoul, Seoul, KR, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
