   208.73.138.12   32425   0.0                    (Ashland, Virginia, US, NA)                                                                                                     
   208.73.138.1    32425   0.491               (Glen Allen, Virginia, US, NA)                                                                                                     
   208.73.136.41   32425   0.515               (Glen Allen, Virginia, US, NA) sw-pxf-mmr-n3k1.v986.xe.pxfactorydc.net                                                             
   208.73.136.134  32425   0.24                         (Ashland, VA, US, NA) r-pxf-ce1.v971.xe.qts.pxfactorydc.net                                                               
   208.73.136.213  32425   2.603                  (Ashburn, Virginia, US, NA)                                                                                                     
╭─ 206.126.236.189 40068   1.934 (2.757)                    (None, None, US, NA) eqix.dc3.ash.neovera.net                                                                            
LHL (40068, 6057)  south-america-1-sam-1 ✘ ↠ tannat ✘ || monet ✘ ↠ tannat ✘ || seabras-1 ✘ ↠ tannat ✘
╰─ 179.31.62.250   6057    132.944                       (None, None, UY, SA) crsan1.gru-ae1002.antel.net.uy                                                                      
   179.31.62.38    6057    132.294                       (None, None, UY, SA) ibe2mlg1-be5.antel.net.uy                                                                           
   200.7.84.24     28000   134.875   (Montevideo, Montevideo Department, UY, SA) uy-mvd-as28000.anchors.atlas.ripe.net                                                               
