   46.227.202.97   41495   0.0                  (Manchester, England, GB, EU) uk-mnc-as41495.anchors.atlas.ripe.net                                                               
   46.227.207.255  41495   0.679                    (London, England, GB, EU) anycast.gateway.faelix.net                                                                          
   46.227.206.41   41495   0.627                (Manchester, England, GB, EU) host-46-227-206-41.rev.as41495.net                                                                  
   46.227.206.84   41495   2.051                (Manchester, England, GB, EU) v0100.bond0.fossey.a.faelix.net                                                                     
   46.227.200.125  41495   1.194                (Manchester, England, GB, EU) v102.eth5.bly.w.faelix.net                                                                          
   46.227.200.231  41495   7.444                    (London, England, GB, EU) host-46-227-200-231.rev.as41495.net                                                                 
   46.227.205.73   41495   7.413                        (London, ENG, GB, EU) v1404.eth6.dekker.d.faelix.net                                                                      
   195.66.226.35   5459    8.354                      (London, ENG, GB, None) ge-0-0-0-border1-thn.linx.net                                                                       
   195.66.243.22   5459    8.566                    (Ealing, England, GB, EU) et-0-0-1-border2-thn.linx.net                                                                       
   195.66.241.220  5459    8.432                    (London, England, GB, EU) ripe-anchor.linx.net                                                                                
