   185.57.191.228  201971  0.0                    (Grantham, England, GB, EU) 228.191.57.185.no-ptr.as201971.net                                                                  
   185.57.188.1    201971  0.413                  (Grantham, England, GB, EU) ae0.mx204-1.ghm.as201971.net                                                                        
   31.217.132.101  4455    4.297                     (Liverpool, ENG, GB, EU) *                                                                                                   
   195.66.224.49   8220    4.831                        (London, ENG, GB, EU) linx-ge7-0-oscar.lon.router.colt.net                                                                
╭─ 193.114.170.207 8220    12.457                        (None, None, GB, EU) *                                                                                                   
S&T (8220, 39923)  
╰─ 213.246.245.218 39923   11.976                     (Brussels, BRU, BE, EU) *                                                                                                   
   109.68.160.65   39923   12.017        (Brussels, Brussels Capital, BE, EU) devrandom1.customer.unix-solutions.be                                                               
   45.87.79.251    208725  12.115        (Brussels, Brussels Capital, BE, EU) router01.sw1.core.devrandom.be                                                                      
   45.87.76.6      208725  11.369        (Brussels, Brussels Capital, BE, EU) ansible.devrandom.be                                                                                
