   200.160.6.19    22548   0.0                 (São Paulo, São Paulo, BR, SA) br-sao-as22548.anchors.atlas.ripe.net                                                               
   200.160.6.61    22548   0.779         (Taboão da Serra, São Paulo, BR, SA) ae1-89.ar3.jd.registro.br                                                                           
   200.160.0.253   22548   1.062                         (None, None, BR, SA) ae0-0.core1.nu.registro.br                                                                          
   200.160.0.161   22548   1.414                         (None, None, BR, SA) xe-5-0-0-0.gw1.nu.registro.br                                                                       
╭─ 200.15.9.94     2914    1.705         (Taboão da Serra, São Paulo, BR, SA) ae-10-1326.a00.saplbr02.br.bb.gin.ntt.net                                                           
S (2914)  south-america-1-sam-1 ✓ || monet ✓ || seabras-1 ✓ || america-movil-submarine-cable-system-1-amx-1 ✘ || brusa ✓ || globenet © || americas-ii ✓
╰─ 129.250.2.12    2914    112.374                       (None, None, US, NA) ae-8.sayonara-dorian.r20.nwrknj03.us.bb.gin.ntt.net                                                 
   129.250.3.9     2914    112.989                       (None, None, US, NA) ae-2.a01.londen14.uk.bb.gin.ntt.net                                                                 
   128.241.1.14    15133   112.126                     (New York, NY, US, NA) ce-0-13-0-0.r00.nycmny17.us.ce.gin.ntt.net                                                          
   152.195.68.35   15133   111.416          (New York City, New York, US, NA)                                                                                                     
