   217.28.166.213  3292    0.0               (Århus, Central Jutland, DK, EU)                                                                                                     
   217.28.166.211  3292    1.75 (59.239)    (Tranbjerg, Central Jutland, DK, EU)                                                                                                     
   62.242.1.165    3292    0.572         (Tranbjerg, Central Jutland, DK, EU) ge-3-3-3-114.trgnqe10.dk.ip.tdc.net                                                                 
   83.88.3.101     3292    3.284         (Tranbjerg, Central Jutland, DK, EU) ae0-0.kd3nqp7.dk.ip.tdc.net                                                                         
   212.10.11.134   39642   3.979             (Kolding, South Denmark, DK, EU) be302.koldt-br01.link.stofa.net                                                                     
   139.45.29.183   43557   3.959         (Silkeborg, Central Jutland, DK, EU) be-206.koldt-cor03.ip.norlys.io                                                                     
   139.45.18.118   43557   3.947         (Silkeborg, Central Jutland, DK, EU) be-190.koldb-dist02.ip.norlys.io                                                                    
   212.10.13.217   197288  3.647                     (Copenhagen, 84, DK, EU) be217.dck-pe02.link.stofa.net                                                                       
   212.10.11.213   39642   3.437             (Kolding, South Denmark, DK, EU) dk-kol-as39642.anchors.atlas.ripe.net                                                               
