   203.41.0.43     1221    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   203.41.0.41     1221    0.151            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.48.8.166    1221    0.188            (Sydney, New South Wales, AU, OC) tel4239945.lnk.telstra.net                                                                          
   203.48.8.165    1221    0.894            (Sydney, New South Wales, AU, OC) bundle-ether803-206.chw-edge903.sydney.telstra.net                                                  
   203.50.11.176   1221    1.555                        (Sydney, NSW, AU, OC) bundle-ether17.chw-core10.sydney.telstra.net                                                        
   ***             *       -inf                                           *** *                                                                                                   
   203.50.13.86    1221    135.871          (Sydney, New South Wales, AU, OC)                                                                                                     
╭─ 203.50.13.86    1221    135.871          (Sydney, New South Wales, AU, OC)                                                                                                     
S (1221, 4637)  
╰─ 202.84.141.45   4637    174.347          (Los Angeles, California, US, NA) i-15232.hkth-core02.telstraglobal.net                                                               
   202.84.141.45   4637    174.347          (Los Angeles, California, US, NA) i-15232.hkth-core02.telstraglobal.net                                                               
   202.84.253.86   4637    173.82           (Los Angeles, California, US, NA) i-93.tlot02.bi.telstraglobal.net                                                                    
   ***             *       -inf                                           *** *                                                                                                   
   98.158.103.225  21699   150.254                  (Los Angeles, CA, US, NA) 40g.la2.la1.coloexchange.com                                                                        
   149.20.160.25   21699   2122.474                      (None, None, US, NA) *                                                                                                   
   149.20.162.6    21699   150.248          (Los Angeles, California, US, NA)                                                                                                     
