   23.174.128.243  53698   0.0               (Sacramento, California, US, NA) us-sac-as53698.anchors.atlas.ripe.net                                                               
   23.174.128.17   53698   0.527             (Sacramento, California, US, NA) vlan3-gateway.qts.smf.nix-ops.net                                                                   
   65.74.145.156   17018   0.722             (Sacramento, California, US, NA)                                                                                                     
   173.225.174.26  17018   1.295             (Sacramento, California, US, NA)                                                                                                     
   4.14.111.245    3356    9.063          (San Francisco, California, US, NA) xe-9-2-2.bar1.sanfrancisco1.level3.net                                                              
   4.69.219.65     3356    4.53                          (None, None, US, NA) *                                                                                                   
╭─ 63.217.21.69    3491    5.496                    (San Joaquin, CA, US, NA) 63-217-21-69.static.pccwglobal.net                                                                  
S (3491)  asia-america-gateway-aag-cable-system ✓ || jupiter 👍 || sea-us ✓ || pacific-light-cable-network-plcn ✓
╰─ 63.218.122.178  3491    182.018                        (Manila, 0, PH, AS) TenGE0-0-2-1.br02.mnl01.pccwbtn.net                                                                 
   63.222.187.5    3491    181.134             (Manila, Metro Manila, PH, AS)                                                                                                     
