   5.180.57.81     56987   0.0           (Lyon, Auvergne-Rhône-Alpes, FR, EU) fr-lio-as56987.anchors.atlas.ripe.net                                                               
   5.180.57.80     56987   0.201     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 80-57-180-5.rev.abaclouda.net                                                                       
   5.180.58.70     56987   0.28      (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 01-xe.bgp03.lyn.abaclouda.net                                                                       
   149.6.119.1     174     0.625     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) te0-1-1-4.rcr21.lys01.atlas.cogentco.com                                                            
╭─ 154.54.61.97    174     0.532 (5.176)(Marseille, Provence-Alpes-Côte d'Azur, FR, EU) be3128.ccr32.mrs02.atlas.cogentco.com                                                               
S&T (174)  
╰─ 154.54.74.202   174     13.095                     (Barcelona, CT, ES, EU) be2867.rcr21.bcn01.atlas.cogentco.com                                                               
   149.6.130.74    15699   14.541                     (Barcelona, CT, ES, EU) *                                                                                                   
   87.236.216.217  15699   36.538                        (None, None, ES, EU) *                                                                                                   
   87.236.216.226  15699   34.885                        (None, None, ES, EU) *                                                                                                   
   37.46.78.28     15699   36.178                    (Madrid, Madrid, ES, EU)                                                                                                     
   37.46.78.66     15699   35.208         (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
