   37.46.78.66     15699   0.0            (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   37.46.78.25     15699   0.578          (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   87.236.216.225  15699   0.938          (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   87.236.216.218  15699   9.793                         (None, None, ES, EU) *                                                                                                   
   149.6.130.73    174     11.802              (Barcelona, Catalonia, ES, EU) te0-4-1-1.rcr21.bcn01.atlas.cogentco.com                                                            
   154.54.61.197   174     15.886                       (Valencia, V, ES, EU) be2421.ccr31.vlc02.atlas.cogentco.com                                                               
   154.54.57.229   174     20.192                         (Madrid, M, ES, EU) be3355.ccr31.mad05.atlas.cogentco.com                                                               
╭─ 154.54.61.129   174     24.521                        (Bilbao, PV, ES, EU) be2324.ccr31.bio02.atlas.cogentco.com                                                               
S (174)  marea ✓
╰─ 154.54.85.241   174     94.896                    (Washington, DC, US, NA) be2331.ccr41.dca01.atlas.cogentco.com                                                               
   154.54.88.230   174     107.802                     (Richmond, VA, US, NA) be2787.rcr01.ric01.atlas.cogentco.com                                                               
   154.24.27.78    22845   98.927                      (Richmond, VA, US, NA) te0-0-2-3.nr11.b002102-0.ric01.atlas.cogentco.com                                                   
   ***             *       -inf                                           *** *                                                                                                   
   209.10.65.51    53907   108.035                (Ashburn, Virginia, US, NA)                                                                                                     
   209.10.80.171   30025   107.558                      (Fairfax, VA, US, NA) *                                                                                                   
   23.152.192.245  53698   98.515                (Richmond, Virginia, US, NA) us-rcd-as53698-client.anchors.atlas.ripe.net                                                        
