   23.148.232.6    59678   0.0               (Piscataway, New Jersey, US, NA) us-pil-as59678.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   107.151.62.1    55081   1.378       (South Plainfield, New Jersey, US, NA)                                                                                                     
   128.177.76.174  6461    46.402           (New York City, New York, US, NA) ca-1-1-c19.ter1.ewr1.us.zip.zayo.com                                                                
   64.125.25.102   6461    117.026                     (New York, NY, US, NA) ae19.cs2.lga5.us.eth.zayo.com                                                                       
╭─ 64.125.20.27    6461    120.629          (New York City, New York, US, NA) ae29.cs1.man1.uk.zip.zayo.com                                                                       
S (6461)  
╰─ 64.125.25.107   6461    121.695                 (Dublin, Leinster, IE, EU) ae7.mpr1.dub3.ie.zip.zayo.com                                                                       
   185.6.36.16     1213    121.084                      (Dublin, L, IE, None) et9-1-0-0.core1-pw.nn.hea.net                                                                       
   87.44.56.178    1213    122.749                          (Cork, M, IE, EU) po2.pw-spine1.nn.hea.net                                                                            
   193.1.201.140   1213    120.803               (Tallaght, Leinster, IE, EU) atlas-anchor.heanet.ie                                                                              
