   37.10.40.14     202196  0.0                 (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   37.10.40.9      202196  0.452            (Tai Yuen Estate, Tai Po, HK, AS)                                                                                                     
   210.176.141.185 4637    1.559            (Tai Yuen Estate, Tai Po, HK, AS) unknown.telstraglobal.net                                                                           
   202.84.173.21   4637    3.463     (Hong Kong, Central and Western, HK, AS) i-0-3-0-6.hkck-core01.telstraglobal.net                                                             
   202.84.157.37   4637    2.207     (Hong Kong, Central and Western, HK, AS)                                                                                                     
╭─ 123.255.90.171  41095   33.726                  (Hong Kong, HCW, HK, None) iptp1-10g.hkix.net                                                                                  
S (41095)  
╰─ 103.23.168.233  41095   51.653                         (Tokyo, 13, JP, AS) be2.r0.bc05.bbt.ty.jp.iptp.net                                                                      
   103.23.168.198  59103   49.185                         (Tokyo, 13, JP, AS) as59103.r0.214.ty2.eq.jp.iptp.net                                                                   
   103.41.60.171   59103   49.166                        (None, None, JP, AS) koba-bgprt1.tokyo-ix.v4.open.ad.jp                                                                  
   103.143.136.26  63781   49.929                        (None, None, JP, AS) ospfrt1-bgprt1.kobayashi.ad.jp                                                                      
   103.143.136.43  63781   49.53                       (Tokyo, Tokyo, JP, AS) koba-103-143-136-43.rev.kobayashi.ad.jp                                                             
