   185.71.177.180  200675  0.0                    (Boden, Norrbotten, SE, EU)                                                                                                     
   185.71.177.178  200675  0.205                  (Boden, Norrbotten, SE, EU) ge65-0-42-1001.br3.hybod.hydro66.net                                                                
   94.140.62.189   12552   0.511                  (Boden, Norrbotten, SE, EU)                                                                                                     
╭─ 146.247.205.243 12552   17.697         (Göteborg, Västra Götaland, SE, EU)                                                                                                     
T (12552, )  
╰─ 185.1.55.11     *       18.272                        (Oslo, Oslo, NO, EU)                                                                                                     
   89.151.255.30   34087   25.108                        (Namsos, 50, NO, EU) 89.151.255.30.nteb.no                                                                               
   89.151.255.32   34087   25.298                        (Namsos, 50, NO, EU) 89.151.255.32.nteb.no                                                                               
   178.164.9.142   47753   24.854                     (Trondheim, 50, NO, EU) 178.164.9.142.3p.ntebredband.no                                                                     
   217.168.87.54   34087   25.823              (Trondheim, Trøndelag, NO, EU)                                                                                                     
