   180.211.88.22   45725   0.0                     (Jakarta, Jakarta, ID, AS) id-jkt-as45725.anchors.atlas.ripe.net                                                               
   180.211.88.21   45725   0.484                   (Jakarta, Jakarta, ID, AS)                                                                                                     
   43.230.152.245  *       0.772                   (Jakarta, Jakarta, ID, AS) local-out.kings.id                                                                                  
   43.230.153.89   *       1.143                   (Jakarta, Jakarta, ID, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   218.100.36.146  *       1.729                   (Jakarta, Jakarta, ID, AS)                                                                                                     
   103.87.187.22   136106  1.686                   (Jakarta, Jakarta, ID, AS) ip187-22.fiberstar.net.id                                                                           
   103.87.184.123  23951   9.418                         (Sleman, YO, ID, AS) ip184-123.fiberstar.net.id                                                                          
   202.152.153.9   23951   12.498                       (Babadan, JT, ID, AS) 202-152-153-9.as23951.net                                                                           
   202.152.129.74  23951   11.457            (Yogyakarta, Yogyakarta, ID, AS) 202-152-129-74.citra.net.id                                                                         
