   203.41.0.43     1221    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   203.41.0.41     1221    0.151            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.48.8.166    1221    0.195            (Sydney, New South Wales, AU, OC) tel4239945.lnk.telstra.net                                                                          
   203.48.8.165    1221    0.844            (Sydney, New South Wales, AU, OC) bundle-ether803-206.chw-edge903.sydney.telstra.net                                                  
   203.50.11.176   1221    0.914                        (Sydney, NSW, AU, OC) bundle-ether17.chw-core10.sydney.telstra.net                                                        
   203.50.11.99    1221    0.765                        (Sydney, NSW, AU, OC) bundle-ether1.chw-edge901.sydney.telstra.net                                                        
   203.54.208.254  1221    0.979            (Sydney, New South Wales, AU, OC) any4061655.lnk.telstra.net                                                                          
   103.30.217.78   58511   13.113                        (None, None, AU, OC) ae2-200g.cor102.ndcs1.au.as58511.net                                                                
   103.30.217.202  58511   13.111                        (None, None, AU, OC) et-0-0-4.cor102.gssyd.au.as58511.net                                                                
   103.30.217.29   58511   13.122                        (None, None, AU, OC) et-0-0-4.cor102.ndcb1.au.as58511.net                                                                
   103.30.218.119  58511   12.706                        (None, None, AU, OC) et-0-0-1.bdr101.ndcb1.au.as58511.net                                                                
   103.17.223.162  58511   12.747              (Brisbane, Queensland, AU, OC) ce.7005398.as132808.net.au.223.17.103.in-addr.arpa                                                  
   103.133.238.187 132808  12.883              (Brisbane, Queensland, AU, OC) iptelco.com.au                                                                                      
