   23.152.192.245  53698   0.0                   (Richmond, Virginia, US, NA) us-rcd-as53698-client.anchors.atlas.ripe.net                                                        
   23.152.192.9    53698   0.357                 (Richmond, Virginia, US, NA) gateway98.qts.ric.nix-ops.net                                                                       
   209.10.80.168   53907   0.727                 (Sandston, Virginia, US, NA)                                                                                                     
   209.10.65.62    53907   1.297                 (Scotland, Virginia, US, NA)                                                                                                     
   62.115.161.82   1299    0.845                 (Richmond, Virginia, US, NA) rich-b1-link.ip.twelve99.net                                                                        
   62.115.126.70   1299    0.877 (4.265)             (Ashburn, Virginia, US, NA) rest-bb1-link.ip.twelve99.net                                                                       
   62.115.141.245  1299    10.947           (New York City, New York, US, NA) nyk-bb1-link.ip.twelve99.net                                                                        
   62.115.112.69   1299    10.474           (New York City, New York, US, NA) nyk-b11-link.ip.twelve99.net                                                                        
   62.115.45.10    1299    11.221           (New York City, New York, US, NA) digitalocean-ic-306498.ip.twelve99-cust.net                                                         
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.131.160.184 14061   11.54                (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
