   213.158.113.5   13101   0.0                     (Hamburg, Hamburg, DE, EU) ripe-anchor.gallifrey.tng.de                                                                        
   213.158.113.28  13101   0.251           (Kiel, Schleswig-Holstein, DE, EU)                                                                                                     
   82.97.188.4     13101   0.523           (Kiel, Schleswig-Holstein, DE, EU) kel13.tng.de                                                                                        
   213.178.65.156  13101   0.841           (Kiel, Schleswig-Holstein, DE, EU) kel1.tng.de                                                                                         
   213.178.80.33   13101   0.739 (2.796)              (Hamburg, Hamburg, DE, EU) ham1.tng.de                                                                                         
   213.178.80.65   13101   8.651              (Frankfurt am Main, HE, DE, EU) fra1.tng.de                                                                                         
   80.81.194.150   6667    8.914             (Frankfurt am Main, 5, DE, None) decix2.eunetip.net                                                                                  
   213.192.184.158 6667    9.198           (Frankfurt am Main, Hesse, DE, EU)                                                                                                     
╭─ 213.192.184.107 6667    15.337                  (Hamburg, Hamburg, DE, EU)                                                                                                     
S (6667)  c-lion1 ✘
╰─ 213.192.184.103 6667    29.607                        (None, None, FI, EU) *                                                                                                   
   213.192.184.176 6667    29.708                        (None, None, FI, EU) *                                                                                                   
   213.192.184.42  6667    29.76                  (Helsinki, Uusimaa, FI, EU) ae1-0.bbr1.sto2.se.eunetip.net                                                                      
