   212.45.159.245  8816    0.0                      (Milan, Lombardy, IT, EU) it-mil-as8816.anchors.atlas.ripe.net                                                                
   212.45.159.246  8816    1.045                    (Milan, Lombardy, IT, EU) asr-luc1-gi7.metrolink.it                                                                           
   212.45.137.202  8816    0.903                    (Milan, Lombardy, IT, EU) asr-luc2-te27.metrolink.it                                                                          
   212.45.137.197  8816    1.278                    (Milan, Lombardy, IT, EU) br-ava-te28.metrolink.it                                                                            
   212.45.159.9    8816    1.155                         (Milan, 9, IT, None) br-mix-fo20.metrolink.it                                                                            
   217.29.67.120   *       0.54                     (Milan, Lombardy, IT, EU) glpr.mix-it.net                                                                                     
   193.41.57.248   34428   27.639                        (None, None, IT, EU) *                                                                                                   
   185.249.157.254 34428   26.482                   (Palermo, Sicily, IT, EU)                                                                                                     
   185.249.157.253 34428   26.672                   (Palermo, Sicily, IT, EU)                                                                                                     
