   117.250.113.140 9829    0.0                      (Guwahati, Assam, IN, AS) static.ill.117.250.113.140.bsnl.co.in                                                               
   117.250.113.138 9829    0.668              (North Guwāhāti, Assam, IN, AS) static.ill.117.250.113.138.bsnl.co.in                                                               
   117.216.207.122 9829    39.149                       (Chennai, TN, IN, AS) *                                                                                                   
   125.21.131.117  9498    43.364    (Saint Thomas Mount, Tamil Nadu, IN, AS)                                                                                                     
   116.119.106.121 9498    118.786                       (None, None, IN, AS) *                                                                                                   
   182.79.236.101  *       116.681                     (Deoli, Delhi, IN, AS)                                                                                                     
   182.79.134.0    9498    54.114                        (None, None, IN, AS) *                                                                                                   
╭─ 182.79.222.213  9498    115.288                       (None, None, IN, AS) *                                                                                                   
S (9498, 31898)  
╰─ 185.1.8.2       31898   117.545                       (Dubai, 3, AE, None) du2.uae-ix.net                                                                                      
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   87.201.194.242  15802   83.444                         (Dubai, DU, AE, AS) *                                                                                                   
