   103.2.186.195   45345   0.0               (Nouméa, South Province, NC, OC) nc-nou-as45345.anchors.atlas.ripe.net                                                               
   103.2.186.221   45345   1.062             (Nouméa, South Province, NC, OC) gw-ipv4-hosting-1010-mx204-f10.as45345.net                                                          
   202.87.128.198  45345   0.628                          (Noumea, S, NC, OC) *                                                                                                   
╭─ 202.87.128.197  18200   1.124             (Nouméa, South Province, NC, OC)                                                                                                     
S (18200, 4826)  gondwana-1 👍
╰─ 45.127.172.74   4826    23.102                       (Sydney, NSW, AU, OC) 4826.syd.equinix.com                                                                                
   45.127.172.74   4826    23.102                       (Sydney, NSW, AU, OC) 4826.syd.equinix.com                                                                                
   ***             *       -inf                                           *** *                                                                                                   
   114.31.192.97   4826    23.791           (Sydney, New South Wales, AU, OC) be2.bdr01.syd03.nsw.vocus.network                                                                   
   49.255.250.54   3491    24.367                       (Sydney, NSW, AU, OC) as0.bdr01.syd03.nsw.VOCUS.net.au                                                                    
   63.222.191.5    3491    23.423           (Sydney, New South Wales, AU, OC)                                                                                                     
