   80.67.181.29    204059  0.0           (Brussels, Brussels Capital, BE, EU) be-bru-as204059.anchors.atlas.ripe.net                                                              
   80.67.181.17    204059  0.352                      (Brussels, BRU, BE, EU) core-patata.louise.neutri.net                                                                       
   80.67.181.1     204059  0.737                      (Brussels, BRU, BE, EU) edge-01.louise.neutri.net                                                                           
   62.112.29.66    6696    1.239                         (None, None, BE, EU) edg01.blutw.bra.be.verixi.net                                                                       
   87.238.225.10   6696    1.747          (Ixelles, Brussels Capital, BE, EU) edg01.intx1.bra.be.verixi.net                                                                       
╭─ 194.53.172.71   *       1.11                  (Nossegem, Flanders, BE, EU) retn.bnix.net                                                                                       
S&T (, 9002)  pan-european-crossing-uk-belgium ✘ || tangerine ✘ || seamewe-3 ✘ || concerto ✘
╰─ 87.245.234.99   9002    9.44                         (London, ENG, GB, EU) ae3-9.RT.TH2.LON.UK.retn.net                                                                        
   87.245.240.39   9002    9.306                    (Poplar, England, GB, EU) gw-as64289.retn.net                                                                                 
   185.225.24.25   64289   9.173                    (London, England, GB, EU)                                                                                                     
