   170.247.95.81   64112   0.0       (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
   170.247.95.86   64112   0.162     (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
   170.247.92.1    64112   0.371     (Santiago, Santiago Metropolitan, CL, SA) x1.as64112.scl.pitchile.cl                                                                          
   45.68.16.79     7195    1.541                     (Santiago, 12, CL, None) EdgeUno-7195.SCL.PITChile.cl                                                                        
   200.25.51.207   7195    2.265     (Santiago, Santiago Metropolitan, CL, SA) ae1021.0.edge2.scl2.as7195.net                                                                      
   200.25.51.40    7195    2.158     (Santiago, Santiago Metropolitan, CL, SA) ae0.0.edge1.scl2.as7195.net                                                                         
   200.25.88.146   7195    1.146     (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
   152.53.30.32    42473   1.301     (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
   37.252.251.26   42473   1.43      (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
