   188.172.217.86  42473   0.0                (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   188.172.217.85  42473   0.401                  (Edenvale, Gauteng, ZA, AF)                                                                                                     
   41.66.181.78    37179   0.747              (Johannesburg, Gauteng, ZA, AF) eoh-gw.dcr01.anx67.jnb.za.anexia-it.net                                                             
   41.84.13.0      37179   1.384                  (Edenvale, Gauteng, ZA, AF) core.100g-8-0-0-gp-id-ter-scp-1.za.africainx.net                                                    
   196.60.8.198    13335   1.325                  (Johannesburg, 6, ZA, None) cloudflare.ixp.joburg                                                                               
   197.234.240.21  13335   1.408              (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   197.234.241.59  13335   1.046                   (Johannesburg, GP, ZA, AF) *                                                                                                   
   197.234.241.80  13335   0.815              (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   197.234.241.100 13335   0.94               (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
