   5.199.167.27    216444  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   5.199.167.25    216444  0.278               (Singapore, Singapore, SG, AS)                                                                                                     
   156.146.32.116  60068   0.881               (Singapore, Singapore, SG, AS) unn-156-146-32-116.cdn77.com                                                                        
   138.199.0.223   60068   0.887               (Singapore, Singapore, SG, AS) vl212.sgp-eq3-edge-1.cdn77.com                                                                      
╭─ 45.134.215.85   60068   0.835 (2.08)          (Singapore, Singapore, SG, AS) fiberstar-sgp.cdn77.com                                                                             
S&T (60068, 136106)  australia-singapore-cable-asc ✓ || indigo-west ✓ || indonesia-global-gateway-igg-system ✓ || jakarta-bangka-bintan-batam-singapore-b3js ✘ || seamewe-3 ✓ || matrix-cable-system ✘ || b2js-jakarta-bangka-batam-singapore-cable-system ✘ || jasuka ✓ || jakabare ✓
╰─ 103.87.184.83   136106  13.806                        (None, None, ID, AS) ip184-83.fiberstar.net.id                                                                           
   103.87.186.179  136106  20.819                  (Jakarta, Jakarta, ID, AS) ip186-179.fiberstar.net.id                                                                          
   103.170.24.254  142360  20.619                        (None, None, ID, AS) ipv4-254-24.170.103.as142360.net                                                                    
   103.170.25.13   142360  20.961            (Semarang, Central Java, ID, AS) ipv4-13-25-170-103.nexa.net.id                                                                      
