   82.148.224.6    25376   0.0                      (Bolton, England, GB, EU)                                                                                                     
   82.148.224.193  25376   0.649                    (Bolton, England, GB, EU) vl16.ds-193.netnorth.net.uk                                                                         
   82.148.224.3    25376   0.247                         (None, None, GB, EU) Po1-16.asr-bol23.netnorth.net.uk                                                                    
   82.148.224.2    25376   0.63                 (Manchester, England, GB, EU) po1-16.asr-ma1.netnorth.net.uk                                                                      
╭─ 77.67.83.241    3257    0.568 (3.185)               (Bolton, England, GB, EU) ae1-69.cr1-man1.ip4.gtt.net                                                                         
S&T (3257)  geo-eirgrid ✘ || exa-north-and-south ✘ || havhingstenceltixconnect-2-cc-2 © || sirius-south ✘ || esat-2 ✘ || rockabill © || esat-1 ✘ || pan-european-crossing-uk-ireland ✓ || exa-express ✘ || solas ✓
╰─ 213.200.120.225 3257    11.49                          (Dublin, D, IE, EU) et-7-3-0.cr0-dub4.ip4.gtt.net                                                                       
   212.222.58.254  3257    10.576                  (Dublin, Leinster, IE, EU) ip4.gtt.net                                                                                         
   87.44.56.178    1213    10.326                           (Cork, M, IE, EU) po2.pw-spine1.nn.hea.net                                                                            
   193.1.201.140   1213    10.455                (Tallaght, Leinster, IE, EU) atlas-anchor.heanet.ie                                                                              
