   212.10.11.213   39642   0.0               (Kolding, South Denmark, DK, EU) dk-kol-as39642.anchors.atlas.ripe.net                                                               
   212.10.11.210   39642   0.627             (Kolding, South Denmark, DK, EU) be2-2615.dck-pe01.link.stofa.net                                                                    
   212.10.13.206   39642   1.022             (Kolding, South Denmark, DK, EU) be-214.koldb-dist01.ip.norlys.io                                                                    
   139.45.18.115   43557   0.935             (Kolding, South Denmark, DK, EU) be-190.koldb-cor03.ip.norlys.io                                                                     
   139.45.29.184   43557   0.988             (Kolding, South Denmark, DK, EU) be-207.koldt-br01.ip.norlys.io                                                                      
   139.45.29.183   43557   4.615         (Silkeborg, Central Jutland, DK, EU) be-206.koldt-cor03.ip.norlys.io                                                                     
   139.45.18.200   43557   4.223         (Silkeborg, Central Jutland, DK, EU) be-183.ejby-cor03.ip.norlys.io                                                                      
   139.45.18.203   43557   4.228         (Silkeborg, Central Jutland, DK, EU) be-202.banxbr02.ip.norlys.io                                                                        
   213.248.93.78   1299    4.58          (Copenhagen, Capital Region, DK, EU) kbn-b1-link.ip.twelve99.net                                                                         
╭─ 62.115.171.213  1299    4.246         (Copenhagen, Capital Region, DK, EU) tele2-ic-342355.ip.twelve99-cust.net                                                                
S&T (1299, 1257)  energinet-laeso-varberg ✘ || globalconnect-2-gc2 © || kattegat-2 © || denmark-sweden-16 ©
╰─ 91.129.14.69    1257    13.476                      (Malmö, Skåne, SE, EU) brn-core-1.bundle-ether13.tele2.net                                                                 
   91.129.12.54    1257    13.434                        (None, None, SE, EU) jkg-core-1.bundle-ether2.tele2.net                                                                  
   91.129.13.111   1257    13.44               (Stockholm, Stockholm, SE, EU) jkg300-cagg-1.bundle-ether2.tele2.net                                                               
   91.129.13.103   1257    13.627              (Stockholm, Stockholm, SE, EU) lkg462-agg-1.bundle-ether2.tele2.net                                                                
   91.129.19.61    1257    13.313              (Stockholm, Stockholm, SE, EU) lkg462-sn-1.eth-trunk2.tele2.net                                                                    
   81.216.114.69   1257    13.994                        (None, None, SE, EU) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   192.36.132.253  1257    13.128           (Linköping, Östergötland, SE, EU)                                                                                                     
   31.15.54.138    1257    13.463           (Linköping, Östergötland, SE, EU)                                                                                                     
