   213.212.129.68  12779   0.0                      (Turin, Piedmont, IT, EU) it-trn-as12779.anchors.atlas.ripe.net                                                               
   213.212.129.65  12779   0.608                    (Turin, Piedmont, IT, EU)                                                                                                     
   213.254.30.222  12779   0.947                         (Torino, 21, IT, EU) be20.Scooby-Monster.core.TRN.itgate.net                                                             
   213.254.31.221  12779   2.751                          (Milan, 25, IT, EU) be1.Boogie.core.MIL.itgate.net                                                                      
   185.1.114.23    5602    2.398                         (Milan, 9, IT, None) kpnqwest.minap.it                                                                                   
   109.168.0.33    5602    2.64                            (Lodi, 25, IT, EU) cr2-tenge0-0-0-1-cal1.mil.kpnqwest.it                                                               
   109.168.0.21    5602    2.767                           (Lodi, 25, IT, EU) cr1-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   109.168.0.62    5602    2.346                           (Lodi, 25, IT, EU) er2-xe-0-0-0-0-cal4.mil.kpnqwest.it                                                                 
   94.141.0.142    5602    3.196                           (Rome, 62, IT, EU) cs2-xe-1-1-0-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    2.358                    (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
