   192.42.97.210   8473    0.0                 (Stockholm, Stockholm, SE, EU) se-sto-as8473.anchors.atlas.ripe.net                                                                
   192.42.97.209   8473    0.459               (Stockholm, Stockholm, SE, EU)                                                                                                     
   176.10.178.214  8473    1.274               (Stockholm, Stockholm, SE, EU) pio-dr2.sto-pio-dr1.bahnhof.net                                                                     
   176.10.178.42   8473    1.185               (Stockholm, Stockholm, SE, EU) sto-pio-dr1.sto-cr3.bahnhof.net                                                                     
   85.24.220.18    8473    1.034               (Stockholm, Stockholm, SE, EU) sto5-er1.se.as8473.net                                                                              
╭─ 194.68.123.157  *       1.281               (Stockholm, Stockholm, SE, EU) netnod-a.stk.retn.net                                                                               
S (, 9002)  bcs-east-west-interlink ✘ || nordbalt ✘
╰─ 87.245.232.228  9002    16.364                      (Siauliai, SA, LT, EU) ae0-7.RT.OMT.SQQ.LT.retn.net                                                                        
   46.166.166.165  16125   19.469                  (Vilnius, Vilnius, LT, EU)                                                                                                     
   46.166.166.8    16125   21.193                        (None, None, LT, EU) *                                                                                                   
   46.166.168.3    16125   19.959                (Šiauliai, Siauliai, LT, EU)                                                                                                     
