   196.49.5.98     327844  0.0       (Dar es Salaam, Dar es Salaam Region, TZ, AF)                                                                                                     
   196.49.5.97     327844  0.944     (Dar es Salaam, Dar es Salaam Region, TZ, AF)                                                                                                     
   41.175.46.57    30844   2.183     (Dar es Salaam, Dar es Salaam Region, TZ, AF)                                                                                                     
╭─ 41.175.43.72    30844   65.499    (Dar es Salaam, Dar es Salaam Region, TZ, AF) et-0-1-6-ltz-p1-sea.liquidtelecom.net                                                               
S (30844)  
╰─ 197.155.94.18   30844   51.076                  (Johannesburg, GT, ZA, AF) te-0-3-0-14.lza-p4-jhb.liquidtelecom.net                                                            
   46.17.232.123   30844   69.127           (Cape Town, Western Cape, ZA, AF) 46.17.232.123.liquidtelecom.net                                                                     
   196.10.140.21   37153   71.849                   (Cape Town, 11, ZA, None) *                                                                                                   
   196.40.102.70   37153   82.269                        (None, None, ZA, AF) core-access-switch1-vlan1001.cpt.host-h.net                                                         
   196.40.111.147  37153   71.315           (Cape Town, Western Cape, ZA, AF) atlas-anchor-cpt3.cpt.net.host-h.net                                                                
