   185.233.100.99  198985  0.0         (Bordeaux, Nouvelle-Aquitaine, FR, EU) ripe-atlas.aquilenet.fr                                                                             
   185.233.100.124 198985  0.427          (Cenon, Nouvelle-Aquitaine, FR, EU) charon1.aquilenet.fr                                                                                
   149.6.44.17     174     1.431          (Cenon, Nouvelle-Aquitaine, FR, EU) gi0-0-1-1.nr11.b015544-0.bod01.atlas.cogentco.com                                                   
╭─ 154.25.0.73     174     1.617          (Cenon, Nouvelle-Aquitaine, FR, EU) te0-0-0-35.rcr71.bod01.atlas.cogentco.com                                                           
S&T (174)  
╰─ 130.117.49.154  174     1.487 (5.347)        (Bilbao, Basque Country, ES, EU) be3055.ccr32.bio02.atlas.cogentco.com                                                               
   154.54.61.134   174     9.839                          (Madrid, M, ES, EU) be2325.ccr32.mad05.atlas.cogentco.com                                                               
   130.117.0.218   174     10.464                         (Madrid, M, ES, EU) be2475.rcr51.b015537-1.mad05.atlas.cogentco.com                                                     
   149.14.241.18   174     10.608                    (Madrid, Madrid, ES, EU)                                                                                                     
   130.206.216.2   766     11.092                        (None, None, ES, EU) redimadrid-backup-router.red.rediris.es                                                             
   193.145.15.50   766     10.952                        (None, None, ES, EU) uc3m-rt-ju-01-xe-0-1-0.net.redimadrid.es                                                            
   ***             *       -inf                                           *** *                                                                                                   
   163.117.49.4    766     14.056                        (Madrid, MD, ES, EU) b01014zr.uc3m.es                                                                                    
   163.117.253.5   766     16.069                    (Madrid, Madrid, ES, EU)                                                                                                     
