   203.119.111.139 4608    0.0                 (Brisbane, Queensland, AU, OC) anchor.apnic.net                                                                                    
   203.119.111.130 4608    0.874               (Brisbane, Queensland, AU, OC) vl-1705.nxcs1.hosted.au.apnic.net                                                                   
   203.119.104.17  4608    0.447               (Brisbane, Queensland, AU, OC) te-0-1-4.nxgw1.bne.apnic.net                                                                        
   103.136.103.19  137409  0.636                      (Brisbane, QLD, AU, OC) as137409.bne.edgeix.net.au                                                                          
   206.148.24.97   7578    0.671               (Brisbane, Queensland, AU, OC)                                                                                                     
   206.148.24.33   7578    11.935           (Sydney, New South Wales, AU, OC) e4.syd-eqxsy5-bb1.globalsecurelayer.com                                                             
   206.148.24.113  7578    11.881           (Sydney, New South Wales, AU, OC)                                                                                                     
   206.148.24.117  7578    11.865           (Sydney, New South Wales, AU, OC)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   202.165.66.5    137409  12.139           (Sydney, New South Wales, AU, OC)                                                                                                     
