   94.126.239.59   48070   0.0                (Peterborough, England, GB, EU) 59.239.126.94.ptr.sibson.as48070.net                                                                
   94.126.239.62   48070   0.64                      (Elton, England, GB, EU) 62.239.126.94.ptr.sibson.as48070.net                                                                
   94.126.239.237  48070   0.775                     (Elton, England, GB, EU) tele-paulst-9k-core02.sibson.as48070.net                                                            
   94.126.239.253  48070   0.767                     (Elton, England, GB, EU) teleh-nrth-9k-core01.sibson.as48070.net                                                             
╭─ 195.66.225.56   16265   0.758 (3.743)                 (London, ENG, GB, None) peering.thn.lon.leaseweb.net                                                                        
S&T (16265)  circe-north ✓ || ulysses-2 ✘ || scylla ✓ || zeus ✘ || atlantic-crossing-1-ac-1 ✘ || concerto © || farland-north ✓
╰─ 31.31.34.20     16265   9.624                      (Amsterdam, NH, NL, EU) po-51.agg01.ams-01.leaseweb.net                                                                     
   31.31.38.115    16265   9.801                      (Amsterdam, NH, NL, EU) ae-101.br01.ams-01.nl.leaseweb.net                                                                  
   81.17.35.91     *       10.578          (Amsterdam, North Holland, NL, EU) po-1.ce03.ams-01.nl.leaseweb.net                                                                    
   185.51.192.48   60781   9.585             (Haarlem, North Holland, NL, EU)                                                                                                     
