   203.41.0.43     1221    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   203.41.0.41     1221    0.185            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.48.8.166    1221    0.235            (Sydney, New South Wales, AU, OC) tel4239945.lnk.telstra.net                                                                          
   203.48.8.165    1221    0.861            (Sydney, New South Wales, AU, OC) bundle-ether803-206.chw-edge903.sydney.telstra.net                                                  
   203.50.11.176   1221    2.105                        (Sydney, NSW, AU, OC) bundle-ether17.chw-core10.sydney.telstra.net                                                        
   203.50.6.116    1221    1.131            (Sydney, New South Wales, AU, OC) bundle-ether2.pad-gw30.sydney.telstra.net                                                           
   203.50.13.86    1221    2.534            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.50.13.86    1221    2.534            (Sydney, New South Wales, AU, OC)                                                                                                     
   202.84.222.134  4637    113.524          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
╭─ 202.84.222.134  4637    113.524          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
S (4637)  
╰─ 202.84.140.221  4637    114.056                     (Tokyo, Tokyo, JP, AS) i-14202.jtha-core02.telstraglobal.net                                                               
   202.84.140.221  4637    114.056                     (Tokyo, Tokyo, JP, AS) i-14202.jtha-core02.telstraglobal.net                                                               
   202.47.216.254  4637    117.058               (Tokyo / Narita, 12, JP, AS) i-96.siko11.telstraglobal.net                                                                       
   210.57.85.39    4637    113.669                     (Tokyo, Tokyo, JP, AS) unknown.telstraglobal.net                                                                           
   206.148.24.37   7578    113.389                     (Tokyo, Tokyo, JP, AS) po11-3.ty-eqxty8-sw4.globalsecurelayer.com                                                          
   45.11.107.52    969     152.247                     (Tokyo, Tokyo, JP, AS) e52-1-gsl.cr1a.eqty8.nrt4.jp.917.as                                                                 
   199.119.64.139  969     153.757                   (Urayasu, Tokyo, JP, AS) e31-10.spine2.nrt04.jp.misaka.io                                                                    
   103.170.232.11  142616  153.733                     (Tokyo, Tokyo, JP, AS) po-31.lag.nrt04.jp.misaka.io                                                                        
   103.170.232.152 142616  152.546                     (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
