   45.5.10.13      265695  0.0       (Concepción de La Vega, La Vega, DO, NA) anchor.eliascomunicaciones.com                                                                      
   45.5.10.9       265695  0.158     (Concepción de La Vega, La Vega, DO, NA) core-router.eliascomunicaciones.com                                                                 
   45.5.10.1       265695  0.449     (Concepción de La Vega, La Vega, DO, NA) man-router.eliascomunicaciones.com                                                                  
   200.125.170.248 269931  1.514     (Villa Bisonó, Santiago Province, DO, NA) internet-dedicado-248.wmservice.com.do                                                              
╭─ 200.125.168.41  269931  1.224 (2.519)(Villa Bisonó, Santiago Province, DO, NA) fibra-hasta-la-casa-168-41.wmservice.com.do                                                         
S (269931, 21559)  
╰─ 199.116.62.86   21559   18.032                    (Miami, Florida, US, NA)                                                                                                     
   74.119.26.91    21559   23.795                    (Miami, Florida, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   154.24.2.225    174     24.703                  (Jacksonville, FL, US, NA) be3484.rcr21.jax01.atlas.cogentco.com                                                               
   154.54.46.97    174     30.469                       (Atlanta, GA, US, NA) be2449.ccr41.atl01.atlas.cogentco.com                                                               
   154.54.28.70    174     43.747                       (Houston, TX, US, NA) be2687.ccr41.iah01.atlas.cogentco.com                                                               
   154.54.0.54     174     60.47                        (Chicago, IL, US, NA) te0-0-2-0.agr11.ord03.atlas.cogentco.com                                                            
   154.54.5.217    174     68.17                   (Phoenix, Arizona, US, NA) be2979.ccr31.phx01.atlas.cogentco.com                                                               
   154.54.44.86    174     80.1                     (Los Angeles, CA, US, NA) be2931.ccr41.lax01.atlas.cogentco.com                                                               
   154.54.29.246   174     79.787                   (Los Angeles, CA, US, NA) be2586.agr22.lax01.atlas.cogentco.com                                                               
   154.24.10.2     174     81.054                   (Los Angeles, CA, US, NA) te0-0-0-10.nr01.b019175-0.lax01.atlas.cogentco.com                                                  
   38.140.154.66   35908   79.829                   (Los Angeles, CA, US, NA) 2te-cogent.lax10.vpls.net                                                                           
   10.0.248.3      *       80.132                                         ***                                                                                                     
   66.180.193.34   4213    79.757           (Los Angeles, California, US, NA)                                                                                                     
   149.20.160.25   21699   131.523                       (None, None, US, NA) *                                                                                                   
   149.20.162.6    21699   79.86            (Los Angeles, California, US, NA)                                                                                                     
