   200.132.1.32    2716    0.0       (Porto Alegre, Rio Grande do Sul, BR, SA) ripe.grupo-redes.inf.ufrgs.br                                                                       
   200.132.1.2     2716    0.478          (Viamão, Rio Grande do Sul, BR, SA) gw-core1.colo.tche.br                                                                               
   170.79.214.36   *       0.688          (Viamão, Rio Grande do Sul, BR, SA) crs1-poprs.bkb.rnp.br                                                                               
   170.79.212.254  1916    9.814                         (None, None, BR, SA) cpr1-crs1-eltsul.bkb.rnp.br                                                                         
   170.79.213.108  *       16.214              (São Paulo, São Paulo, BR, SA) csp2-cpr1-tlb.bkb.rnp.br                                                                            
   170.79.213.2    1916    56.453                        (None, None, BR, SA) *                                                                                                   
╭─ 170.79.213.47   *       120.589     (Belo Horizonte, Minas Gerais, BR, SA) mia2-cce2-monet.bkb.rnp.br                                                                          
S (, 174)  
╰─ 38.88.165.65    174     121.028                        (Miami, FL, US, NA) te0-1-0-5-4.ccr21.mia03.atlas.cogentco.com                                                          
   154.54.88.233   174     120.976                   (Miami, Florida, US, NA) be3087.ccr22.mia01.atlas.cogentco.com                                                               
   154.54.28.49    174     133.162                      (Atlanta, GA, US, NA) be3483.ccr42.atl01.atlas.cogentco.com                                                               
   154.54.5.154    174     138.782                    (Charlotte, NC, US, NA) be2037.rcr21.clt01.atlas.cogentco.com                                                               
   154.54.83.78    174     141.785             (Cary, North Carolina, US, NA) be2190.rcr71.rdu02.atlas.cogentco.com                                                               
   154.24.54.174   174     142.679                       (Denver, CO, US, NA) te0-0-1-3.nr12.b006551-1.den01.atlas.cogentco.com                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.225.2.46    36236   142.718                       (Durham, NC, US, NA) 46.2.225.104.ptr.anycast.net                                                                        
   104.225.3.74    36236   142.123           (Durham, North Carolina, US, NA) 74.3.225.104.ptr.anycast.net                                                                        
