   5.180.57.81     56987   0.0           (Lyon, Auvergne-Rhône-Alpes, FR, EU) fr-lio-as56987.anchors.atlas.ripe.net                                                               
   5.180.57.80     56987   0.181     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 80-57-180-5.rev.abaclouda.net                                                                       
   5.180.58.70     56987   0.267     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 01-xe.bgp03.lyn.abaclouda.net                                                                       
   5.180.58.72     56987   0.253 (6.452)          (Paris, Île-de-France, FR, EU) 01-xe.bgp05.par.abaclouda.net                                                                       
╭─ 213.144.183.24  6762    6.519               (Paris, Île-de-France, FR, EU) xe2-3-0.parigi52.par.seabone.net                                                                    
S&T (6762)  seamewe-4 👍
╰─ 213.144.177.227 6762    25.756                          (Rome, 62, IT, EU) ae6-50.roma1.rom.seabone.net                                                                        
   213.144.177.227 6762    25.756                          (Rome, 62, IT, EU) ae6-50.roma1.rom.seabone.net                                                                        
   89.221.32.157   59715   31.961                          (Rome, 62, IT, EU) citta-san-benedetto-d.roma1.rom.seabone.net                                                         
   185.5.201.10    59715   34.817    (San Benedetto del Tronto, The Marches, IT, EU) p6496.probes.atlas.ripe.net                                                                         
