   23.155.72.145   64289   0.0              (Santa Clara, California, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   10.10.10.0      *       0.495                                          ***                                                                                                     
   206.197.187.12  *       1.061                (Fremont, California, US, NA) as6939.sfmix.org                                                                                    
   72.52.92.245    6939    1.56                      (Farmington, CA, US, NA) 100ge4-2.core3.fmt2.he.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   184.105.177.238 46749   11.958                    (Pleasanton, CA, US, NA) stanford-university.100gigabitethernet5-1.core1.pao1.he.net                                         
   171.66.0.238    32      2.937                       (Stanford, CA, US, NA) csee-west-rtr-vl12.SUNet                                                                            
   ***             *       -inf                                           *** *                                                                                                   
   171.67.70.16    32      3.202               (Stanford, California, US, NA) us-pao-as32.anchors.atlas.ripe.net                                                                  
