   192.158.252.10  1280    0.0            (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
   192.158.252.3   1280    0.263              (Palo Alto, California, US, NA) r2.pao2-guests.isc.org                                                                              
   198.32.176.33   2152    2.388                        (Oakland, CA, US, NA) calren-cenic.paix.net                                                                               
   137.164.11.22   2152    1.419               (Berkeley, California, US, NA) emvl1-agg-01--oak-agg8--400g--01.cenic.net                                                          
   137.164.11.89   3292    3.193                       (Tri-City, OR, US, NA) dc-tri-agg2--oak-agg8-300g.cenic.net                                                                
   137.164.46.7    2152    7.522                       (Tri-City, OR, US, NA) cor-agg8--tri-agg2--100ge.cenic.net                                                                 
   137.164.50.243  2152    9.162                         (Corona, CA, US, NA) sha-coe-1--cor-agg8-10g.cenic.net                                                                   
   137.164.34.84   2152    8.603                        (Shafter, CA, US, NA) sha-coe-2---to--sha-coe-1--10ge.cenic.net                                                           
   137.164.13.11   23483   9.136                        (Shafter, CA, US, NA) shacoe-gw2--sha-coe-2-10g.cenic.net                                                                 
   66.244.16.33    23483   8.885                (Redding, California, US, NA) us-rdd-as23483.anchors.atlas.ripe.net                                                               
