   103.170.232.152 142616  0.0                         (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
   ***             *       -inf                                           *** *                                                                                                   
   103.170.232.3   142616  0.271                       (Tokyo, Tokyo, JP, AS) spine2.nrt04.jp.misaka.io                                                                           
   199.119.64.142  969     0.258                       (Tokyo, Tokyo, JP, AS) e54-20.cr2a.eqty8.nrt4.jp.917.as                                                                    
   84.17.33.104    60068   0.307                       (Tokyo, Tokyo, JP, AS) po66-3517.cr02.nrt04.jp.misaka.io                                                                   
╭─ 62.115.189.145  1299    0.725                       (Tokyo, Tokyo, JP, AS) tky-b3-link.ip.twelve99.net                                                                         
S (1299)  japan-u-s-cable-network-jus ✓ || tata-tgn-pacific ✓ || pacific-crossing-1-pc-1 ✓ || faster ✓ || jupiter ✓
╰─ 62.115.127.10   1299    111.608                 (Portland, Oregon, US, NA) port-b3-link.ip.twelve99.net                                                                        
   62.115.142.89   1299    111.698                 (Portland, Oregon, US, NA) port-b2-link.ip.twelve99.net                                                                        
   62.115.139.133  1299    111.627              (Seattle, Washington, US, NA) sea-b3-link.ip.twelve99.net                                                                         
   62.115.132.157  1299    111.834              (Seattle, Washington, US, NA) sea-b1-link.ip.twelve99.net                                                                         
   62.115.169.191  1299    111.642              (Seattle, Washington, US, NA) akamai-ic-340715.ip.twelve99-cust.net                                                               
   23.209.163.36   20940   111.498                      (Seattle, WA, US, NA) ae12.r01.sea01.icn.netarch.akamai.com                                                               
   23.193.112.241  20940   111.733             (San Jose, California, US, NA) ae3.r01.sjc01.icn.netarch.akamai.com                                                                
   23.207.232.37   20940   111.665                     (San Jose, CA, US, NA) ae1.r12.sjc01.ien.netarch.akamai.com                                                                
   23.203.158.53   20940   112.208              (Fremont, California, US, NA) a23-203-158-53.deploy.static.akamaitechnologies.com                                                 
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   45.79.110.82    63949   110.644              (Fremont, California, US, NA) li1209-82.members.linode.com                                                                        
