   45.65.244.254   265721  0.0                  (Sosúa, Puerto Plata, DO, NA) ripeatlas-anchor.cableatlantico.com                                                                 
   45.65.244.253   265721  0.841                (Sosúa, Puerto Plata, DO, NA) linea-dedicada-244-253.cableatlantico.com                                                           
╭─ 200.58.244.30   265721  1.432                (Sosúa, Puerto Plata, DO, NA) puertoplata-100g-244-30.cableatlantico.com                                                          
S (265721, 23520)  
╰─ 69.79.106.82    23520   19.693                    (Miami, Florida, US, NA)                                                                                                     
   69.79.102.0     23520   30.789                    (Boca Raton, FL, US, NA) ae0.brx-mx2020-2.boca-raton.fl.usa.cwc.com                                                          
   ***             *       -inf                                           *** *                                                                                                   
   184.105.222.150 6939    41.651                       (Norfolk, VA, US, NA) 100ge0-28.core1.orf2.he.net                                                                         
   184.104.196.105 6939    43.94                       (Richmond, VA, US, NA) 100ge0-35.core1.ric1.he.net                                                                         
   184.104.188.45  6939    65.882        (Highland Springs, Virginia, US, NA) 100ge0-34.core1.ric2.he.net                                                                         
   206.71.9.9      *       60.137                (Richmond, Virginia, US, NA) ninja-ix-transit.richmond.ix.ninja-ix.net                                                           
   23.152.192.245  53698   44.075                (Richmond, Virginia, US, NA) us-rcd-as53698-client.anchors.atlas.ripe.net                                                        
