   46.227.202.97   41495   0.0                  (Manchester, England, GB, EU) uk-mnc-as41495.anchors.atlas.ripe.net                                                               
   46.227.207.255  41495   0.86                     (London, England, GB, EU) anycast.gateway.faelix.net                                                                          
   46.227.206.41   41495   0.71                 (Manchester, England, GB, EU) host-46-227-206-41.rev.as41495.net                                                                  
   46.227.206.84   41495   1.028                (Manchester, England, GB, EU) v0100.bond0.fossey.a.faelix.net                                                                     
   46.227.200.125  41495   1.836                (Manchester, England, GB, EU) v102.eth5.bly.w.faelix.net                                                                          
   46.227.200.231  41495   7.723                    (London, England, GB, EU) host-46-227-200-231.rev.as41495.net                                                                 
   5.57.81.127     *       12.659                   (London, England, GB, EU) lonap.edge.as48070.net                                                                              
   94.126.239.238  48070   12.056             (Peterborough, England, GB, EU) sibson-n77k-02.sibson.as48070.net                                                                   
   94.126.239.59   48070   12.428             (Peterborough, England, GB, EU) 59.239.126.94.ptr.sibson.as48070.net                                                                
