   104.131.160.184 14061   0.0                  (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   10.74.132.63    *       0.59                                           ***                                                                                                     
   138.197.251.14  *       0.962            (New York City, New York, US, NA)                                                                                                     
   138.197.248.60  *       0.593            (New York City, New York, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   66.216.2.132    19151   38.094              (South Plainfield, NJ, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   66.216.1.50     19151   38.067              (South Plainfield, NJ, US, NA) ash-te7-3-ny111-te1-3.bboi.net                                                                      
   66.216.1.121    19151   37.595              (South Plainfield, NJ, US, NA) mia-ten3-2-ash-ten7-5.bboi.net                                                                      
   66.216.2.12     19151   38.188                         (Tampa, FL, US, NA) *                                                                                                   
   66.216.50.42    19151   37.938                    (Tampa, Florida, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   199.47.174.227  12110   37.446                    (Tampa, Florida, US, NA) atlas-anchor.tampa.coop                                                                             
