   185.15.59.74    14907   0.0             (Amsterdam, North Holland, NL, EU) atlas3001.wikimedia.org                                                                             
   185.15.59.73    14907   5.686 (3125.308)        (Haarlem, North Holland, NL, EU) irb-332.asw1-by27-esams.wikimedia.org                                                               
   185.15.59.150   14907   1.073             (Haarlem, North Holland, NL, EU) et-0-0-1.cr2-esams.wikimedia.org                                                                    
╭─ 193.239.118.42  39642   10.789                    (Amsterdam, 7, NL, None) norlys.globalconnect-dk.nl-ix.net                                                                   
S&T (39642, 43557)  cobracable ✘
╰─ 139.45.29.181   43557   14.582        (Copenhagen, Capital Region, DK, EU) be-206.ejby-cor03.ip.norlys.io                                                                      
   139.45.18.201   43557   14.354        (Silkeborg, Central Jutland, DK, EU) be-183.koldt-cor03.ip.norlys.io                                                                     
   139.45.18.118   43557   14.517        (Silkeborg, Central Jutland, DK, EU) be-190.koldb-dist02.ip.norlys.io                                                                    
   212.10.13.217   197288  14.173                    (Copenhagen, 84, DK, EU) be217.dck-pe02.link.stofa.net                                                                       
   212.10.11.213   39642   13.894            (Kolding, South Denmark, DK, EU) dk-kol-as39642.anchors.atlas.ripe.net                                                               
