   104.131.160.184 14061   0.0                  (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   10.74.132.69    *       0.367                                          ***                                                                                                     
   138.197.251.12  *       0.957            (New York City, New York, US, NA)                                                                                                     
   138.197.248.60  *       0.37             (New York City, New York, US, NA)                                                                                                     
   138.197.244.36  *       1.092            (New York City, New York, US, NA)                                                                                                     
   157.238.179.69  2914    1.265            (New York City, New York, US, NA) ce-3-1-0.a02.nycmny17.us.bb.gin.ntt.net                                                             
   129.250.3.16    2914    1.727                         (None, None, US, NA) ae-5.sayonara-dorian.r24.lsanca07.us.bb.gin.ntt.net                                                 
   129.250.6.116   2914    7.222                         (None, None, US, NA) ae-3.sayonara-dorian.r25.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.37    2914    8.264                         (None, None, US, NA) ae-1.sayonara-dorian.r24.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.87    2914    30.553                        (None, None, US, NA) ae-1.sayonara-dorian.r23.miamfl02.us.bb.gin.ntt.net                                                 
   129.250.2.108   2914    31.326                        (None, None, US, NA) ae-1.sayonara-dorian.a02.miamfl02.us.bb.gin.ntt.net                                                 
   129.250.207.170 20473   28.787                      (New York, NY, US, NA) xe-0-0-26-2.a00.miamfl02.us.ce.gin.ntt.net                                                          
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   207.246.74.246  20473   31.222                    (Miami, Florida, US, NA) 207.246.74.246.vultrusercontent.com                                                                 
