   203.41.0.43     1221    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   203.41.0.41     1221    0.142            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.48.8.166    1221    0.223            (Sydney, New South Wales, AU, OC) tel4239945.lnk.telstra.net                                                                          
   203.48.8.165    1221    0.737            (Sydney, New South Wales, AU, OC) bundle-ether803-206.chw-edge903.sydney.telstra.net                                                  
   203.50.11.176   1221    0.962                        (Sydney, NSW, AU, OC) bundle-ether17.chw-core10.sydney.telstra.net                                                        
   203.50.6.116    1221    1.042            (Sydney, New South Wales, AU, OC) bundle-ether2.pad-gw30.sydney.telstra.net                                                           
   203.50.13.86    1221    1.254            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.50.13.86    1221    1.254            (Sydney, New South Wales, AU, OC)                                                                                                     
   202.84.222.82   4637    1.005            (Sydney, New South Wales, AU, OC) i-90.sydp10.telstraglobal.net                                                                       
╭─ 210.57.5.182    4637    1.042            (Sydney, New South Wales, AU, OC) unknown.telstraglobal.net                                                                           
S (4637, 55850)  tasman-global-access-tga-cable 👍 || southern-cross-cable-network-sccn 👍 || hawaiki ✘
╰─ 103.26.202.198  55850   24.368                (Auckland, Auckland, NZ, OC) et-0-0-3.esy3-p-1.as55850.net                                                                       
   116.251.185.234 55850   24.213                     (Tauranga, BOP, NZ, OC) et-0-0-10.atc-p-1.as55850.net                                                                       
   116.251.187.224 55850   24.18                 (Auckland, Auckland, NZ, OC) ip-116-251-187-224.kinect.net.nz                                                                    
   116.251.187.225 55850   24.064                (Auckland, Auckland, NZ, OC) ip-116-251-187-225.kinect.net.nz                                                                    
   185.121.168.251 61138   24.144               (Newmarket, Auckland, NZ, OC) nz-akl-as61138.anchors.atlas.ripe.net                                                               
