   176.74.17.75    41000   0.0                  (Manchester, England, GB, EU) uk-mnc-as41000.anchors.atlas.ripe.net                                                               
   176.74.17.65    41000   1.672                   (Salford, England, GB, EU)                                                                                                     
   176.74.23.222   41000   0.817                   (Salford, England, GB, EU) 0.ae1.man1-csw1.uk.as41000.net                                                                      
   176.74.23.240   41000   1.072                   (Salford, England, GB, EU) 2.be3.man1-rt1.uk.as41000.net                                                                       
   176.74.23.246   41000   7.822                    (London, England, GB, EU) 8.be4.lon1-rt1.uk.as41000.net                                                                       
   195.66.227.214  201933  7.414                      (London, ENG, GB, None) *                                                                                                   
   91.193.119.27   201933  7.409                      (Brighton, ENG, GB, EU) port-27-119.as201933.net                                                                            
   91.193.116.89   209669  7.94                       (Brighton, ENG, GB, EU) 1ge-0-0.edge.pd1.lon.gbr.primonetwork.co.uk                                                         
   ***             *       -inf                                           *** *                                                                                                   
   185.251.232.156 209669  8.479                    (Bexley, England, GB, EU) 156.232.251.185.arpa.primonetwork.co.uk                                                             
