   196.40.111.147  37153   0.0              (Cape Town, Western Cape, ZA, AF) atlas-anchor-cpt3.cpt.net.host-h.net                                                                
   196.40.111.145  37153   14.159           (Cape Town, Western Cape, ZA, AF)                                                                                                     
   41.204.206.37   37153   0.495            (Cape Town, Western Cape, ZA, AF) core-router1.cpt2.host-h.net                                                                        
   41.66.133.1     37179   0.447            (Cape Town, Western Cape, ZA, AF) 41-66-133-1-2.customer-xe-0-0-2-wc-ro-het-mee-1.africainx.net                                       
   41.84.12.29     37179   0.958            (Cape Town, Western Cape, ZA, AF) core.100g-0-8-0-wc-ro-ter-pbr-1.za.africainx.net                                                    
   41.84.12.28     37179   18.609                  (Johannesburg, GP, ZA, AF) core.100g-0-8-0-wc-ro-ter-scp-2.za.africainx.net                                                    
   41.84.12.169    37179   18.967                  (Johannesburg, GP, ZA, AF) core.xe-0-0-1-nl-am-eqx-dce-1.nl.africainx.net                                                      
╭─ 81.52.179.79    5511    16.583                 (Edenvale, Gauteng, ZA, AF)                                                                                                     
T (5511)  
╰─ 193.251.241.157 5511    181.174                     (London, None, GB, EU) bundle-ether304.lontr5.london.opentransit.net                                                       
   193.251.248.52  5511    177.02                   (London, England, GB, EU)                                                                                                     
   37.143.136.249  196745  170.384                 (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  170.598                   (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
