   103.102.166.20  14907   0.0                 (Singapore, Singapore, SG, AS) ripe-atlas-eqsin.wikimedia.org                                                                      
   103.102.166.18  14907   0.366               (Singapore, Singapore, SG, AS) ae1-530.cr3-eqsin.wikimedia.org                                                                     
   103.102.166.141 14907   0.328               (Singapore, Singapore, SG, AS) ae0.cr2-eqsin.wikimedia.org                                                                         
   103.16.102.229  13335   1.158                     (Singapore, 1, SG, None) cloudflare2.sgix.sg                                                                                 
   172.70.144.5    13335   0.868                    (Singapore, None, SG, AS) *                                                                                                   
   172.70.145.7    13335   0.739               (Singapore, Singapore, SG, AS)                                                                                                     
   172.70.145.34   13335   0.786               (Singapore, Singapore, SG, AS)                                                                                                     
   172.70.145.156  13335   0.891               (Singapore, Singapore, SG, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   103.156.251.7   141235  0.959               (Singapore, Singapore, SG, AS)                                                                                                     
