   50.28.98.185    53824   0.0             (Paradise Valley, Arizona, US, NA)                                                                                                     
   50.28.98.2      53824   1.161                   (Phoenix, Arizona, US, NA) lw-dc4-dist1-vlan100.rtr.liquidweb.com                                                              
   50.28.96.48     53824   1.114                   (Phoenix, Arizona, US, NA) lw-dc4-core1.rtr.liquidweb.com                                                                      
   50.28.96.229    53824   1.674                   (Phoenix, Arizona, US, NA) lw-dc4-border1-te0-0-0-0.rtr.liquidweb.com                                                          
   209.59.157.128  32244   48.625                 (Chicago, Illinois, US, NA) lw-chi-border1.rtr.liquidweb.com                                                                    
   69.167.128.212  36444   57.709                        (None, None, US, NA) lw-chi-border1.rtr.liquidweb.com                                                                    
   192.240.191.165 36444   56.324                        (None, None, US, NA) xledge1mel.core-1.mel.dtw.nexcess.net                                                               
   192.240.191.187 36444   62.71                         (None, None, US, NA) xlcore1.dx.1b.mel-01.dtw.nexcess.net                                                                
   208.86.250.253  36444   57.273                (Dearborn, Michigan, US, NA)                                                                                                     
