   197.80.104.36   10474   0.0                (Johannesburg, Gauteng, ZA, AF) 197-80-104-36.jhb.mweb.co.za                                                                        
   197.80.75.3     10474   1.172                  (Randburg, Gauteng, ZA, AF) 20.bu-ether1.vic-pe-12.optinet.net                                                                  
   197.80.7.15     10474   1.254                         (None, None, ZA, AF) 197-80-7-15.jhb.mweb.co.za                                                                          
   197.80.4.9      10474   1.382                         (None, None, ZA, AF) bu-ether1.tis-pe-2.optinet.net                                                                      
   197.80.4.22     10474   1.17                   (Randburg, Gauteng, ZA, AF) tengig0-2.tis-pe-2.mweb.co.za                                                                       
   196.60.8.232    37662   1.006                  (Johannesburg, 6, ZA, None) wiocc.ixp.joburg                                                                                    
   154.66.247.66   37662   18.508             (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   196.60.71.138   *       19.7             (Cape Town, Western Cape, ZA, AF) 196-60-71-138.ixp.capetown                                                                          
   102.212.60.247  329276  19.792           (Cape Town, Western Cape, ZA, AF) za-cpt-as329276.anchors.atlas.ripe.net                                                              
