   77.214.52.102   9158    0.0               (Aalborg, North Denmark, DK, EU)                                                                                                     
   77.214.52.101   9158    0.777                          (Farum, 84, DK, EU) *                                                                                                   
   212.10.11.141   39642   0.777 (6.345)    (Copenhagen, Capital Region, DK, EU)                                                                                                     
   212.10.11.140   39642   6.954         (Copenhagen, Capital Region, DK, EU) be325.banx-br01.link.stofa.net                                                                      
   139.45.29.173   43557   10.685        (Copenhagen, Capital Region, DK, EU) be-201.ejby-cor03.ip.norlys.io                                                                      
   139.45.18.201   43557   10.241        (Silkeborg, Central Jutland, DK, EU) be-183.koldt-cor03.ip.norlys.io                                                                     
   139.45.18.118   43557   9.844         (Silkeborg, Central Jutland, DK, EU) be-190.koldb-dist02.ip.norlys.io                                                                    
   212.10.13.217   197288  9.655                     (Copenhagen, 84, DK, EU) be217.dck-pe02.link.stofa.net                                                                       
   212.10.11.213   39642   9.445             (Kolding, South Denmark, DK, EU) dk-kol-as39642.anchors.atlas.ripe.net                                                               
