   103.121.34.150  138398  0.0                   (Auckland, Auckland, NZ, OC) 103-121-34-150.netbydesign.nz                                                                       
   103.121.34.130  138398  0.238                 (Auckland, Auckland, NZ, OC) eth2.vrt1.akl.netbydesign.nz                                                                        
╭─ 43.243.21.69    38195   0.877                      (Auckland, AUK, NZ, OC) as38195.akl.ix.nz                                                                                   
S (38195)  tasman-global-access-tga-cable ✘ || southern-cross-cable-network-sccn ✘ || hawaiki ✘
╰─ 111.118.196.28  38195   30.244                        (None, None, AU, OC) hundredgige0-0-1-3.bdr01-ipt-220queen-akl.nz.superloop.net.co                                       
   111.118.196.22  38195   29.785                        (None, None, AU, OC) bundle-ether34-122.bdr02-ipt-47bourke-syd.au.superloop.net.co                                       
   103.200.13.66   38195   29.811                        (None, None, AU, OC) bundle-ether31.bdr02-ipt-4edenpar-syd.au.superloop.net.co                                           
   103.200.13.69   38195   29.894                       (Sydney, NSW, AU, OC) bundle-ether33.bdr01-ipt-4edenpar-syd.au.superloop.net.co                                           
   203.153.18.99   9336    29.593                       (Sydney, NSW, AU, OC) *                                                                                                   
   202.90.50.69    9336    29.759                (Upper Coomera, QLD, AU, OC) te0-1-6-2.cr-01.gbsw.nsw.spirit.net.au                                                              
   103.126.52.172  138466  29.447                        (None, None, AU, OC) vl450-dp0s18-pauseq4rbdr7.datamossa.io                                                              
   103.126.52.196  138466  29.852                        (None, None, AU, OC) vl129-bo0.pauseq4rbdr2.datamossa.io                                                                 
   103.126.52.180  138466  30.032           (Sydney, New South Wales, AU, OC) as138466.anchors.atlas.ripe.net                                                                     
