   185.233.100.99  198985  0.0         (Bordeaux, Nouvelle-Aquitaine, FR, EU) ripe-atlas.aquilenet.fr                                                                             
   185.233.100.124 198985  0.262          (Cenon, Nouvelle-Aquitaine, FR, EU) charon1.aquilenet.fr                                                                                
   149.6.44.17     174     0.928          (Cenon, Nouvelle-Aquitaine, FR, EU) gi0-0-1-1.nr11.b015544-0.bod01.atlas.cogentco.com                                                   
   154.25.0.73     174     1.231          (Cenon, Nouvelle-Aquitaine, FR, EU) te0-0-0-35.rcr71.bod01.atlas.cogentco.com                                                           
╭─ 130.117.3.1     174     8.857               (Paris, Île-de-France, FR, EU) be3039.ccr41.par01.atlas.cogentco.com                                                               
S (174)  apollo © || flag-atlantic-1-fa-1 ©
╰─ 66.28.4.197     174     79.929                      (New York, NY, US, NA) be3627.ccr41.jfk02.atlas.cogentco.com                                                               
   154.54.3.10     174     79.937                      (New York, NY, US, NA) be3362.ccr31.jfk04.atlas.cogentco.com                                                               
   ***             *       -inf                                           *** *                                                                                                   
   65.19.120.201   6128    81.068                        (None, None, US, NA) 451be0c9.cst.lightpath.net                                                                          
   64.15.3.153     6128    81.899                        (None, None, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   65.51.3.116     54004   84.119            (Greenwich, Connecticut, US, NA) 41330374.cst.lightpath.net                                                                          
   65.51.3.117     54004   82.629            (Waltham, Massachusetts, US, NA) 41330375.cst.lightpath.net                                                                          
   23.175.208.253  54316   83.001           (New York City, New York, US, NA) core1.ny1.ap.foundation                                                                             
   23.175.209.11   54316   83.128                 (Astoria, New York, US, NA)                                                                                                     
