   213.212.129.68  12779   0.0                      (Turin, Piedmont, IT, EU) it-trn-as12779.anchors.atlas.ripe.net                                                               
   213.212.129.65  12779   0.544                    (Turin, Piedmont, IT, EU)                                                                                                     
╭─ 213.254.30.220  12779   0.88                          (Torino, 21, IT, EU) be20.Scrappy-Monster.core.TRN.itgate.net                                                            
S&T (12779)  
╰─ 213.254.31.230  12779   19.724                   (London, England, GB, EU) if-0-1-0-0.bulldog.core.lon.itgate.net                                                              
   195.66.224.131  28792   19.126                     (London, ENG, GB, None) *                                                                                                   
   80.82.243.141   28792   19.183                       (Witney, ENG, GB, EU) gi-2-1-0.lon-core-01.ip.pblin.net                                                                   
   80.82.243.120   28792   21.762                       (Witney, ENG, GB, EU) oxf-core-02.ip.pblin.net                                                                            
   80.82.243.127   28792   22.061                       (Witney, ENG, GB, EU) oxf-access-10.ip.pblin.net                                                                          
   80.82.241.134   28792   21.932                   (London, England, GB, EU) 134-241-82-80.in-addr.pblin.net                                                                     
