   103.102.166.20  14907   0.0                 (Singapore, Singapore, SG, AS) ripe-atlas-eqsin.wikimedia.org                                                                      
   103.102.166.19  14907   0.355               (Singapore, Singapore, SG, AS) ae1-530.cr2-eqsin.wikimedia.org                                                                     
   103.102.166.135 14907   0.58                (Singapore, Singapore, SG, AS) pccw-peering.cr2-eqsin.wikimedia.org                                                                
   63.223.58.70    3491    1.463                       (Singapore, 4, SG, AS) HundredGE0-1-0-0.br03.sin03.pccwbtn.net                                                             
   63.223.58.70    3491    1.463                       (Singapore, 4, SG, AS) HundredGE0-1-0-0.br03.sin03.pccwbtn.net                                                             
╭─ 63.218.249.190  7632    2.279                       (Singapore, 4, SG, AS) linknet.be12.br03.sin03.pccwbtn.net                                                                 
S&T (7632, 136106)  australia-singapore-cable-asc ✓ || indigo-west ✓ || indonesia-global-gateway-igg-system ✓ || jakarta-bangka-bintan-batam-singapore-b3js ✘ || seamewe-3 ✓ || matrix-cable-system ✘ || jasuka ✓ || b2js-jakarta-bangka-batam-singapore-cable-system ✘ || jakabare ✓
╰─ 103.87.186.179  136106  21.817                  (Jakarta, Jakarta, ID, AS) ip186-179.fiberstar.net.id                                                                          
   103.170.24.254  142360  21.791                        (None, None, ID, AS) ipv4-254-24.170.103.as142360.net                                                                    
   103.170.25.13   142360  22.02             (Semarang, Central Java, ID, AS) ipv4-13-25-170-103.nexa.net.id                                                                      
