   203.41.0.51     1221    0.0                  (Melbourne, Victoria, AU, OC)                                                                                                     
   203.41.0.49     1221    0.151                (Melbourne, Victoria, AU, OC)                                                                                                     
   203.48.8.50     1221    0.231                (Melbourne, Victoria, AU, OC) tel4239905.lnk.telstra.net                                                                          
   203.48.8.49     1221    1.972                (Melbourne, Victoria, AU, OC) bundle-ether803-206.lon-edge903.melbourne.telstra.net                                               
   203.50.11.198   1221    2.192                     (Melbourne, VIC, AU, OC) bundle-ether13.exi-core10.melbourne.telstra.net                                                     
   203.50.11.108   1221    1.766                     (Melbourne, VIC, AU, OC) bundle-ether1.lon-edge901.melbourne.telstra.net                                                     
   203.54.182.170  1221    1.761                (Melbourne, Victoria, AU, OC) any4061781.lnk.telstra.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   103.30.218.143  *       23.548               (Melbourne, Victoria, AU, OC) et-0-0-8.cor101.v530c.au.as58511.net                                                                
   103.30.217.200  *       23.538               (Melbourne, Victoria, AU, OC) et-0-0-4.cor101.gssyd.au.as58511.net                                                                
   103.30.217.195  58511   23.507                        (None, None, AU, OC) ae0-200g.cor102.gssyd.au.as58511.net                                                                
   103.30.217.29   58511   23.527                        (None, None, AU, OC) et-0-0-4.cor102.ndcb1.au.as58511.net                                                                
   103.30.218.119  58511   23.15                         (None, None, AU, OC) et-0-0-1.bdr101.ndcb1.au.as58511.net                                                                
   103.17.223.162  58511   23.118              (Brisbane, Queensland, AU, OC) ce.7005398.as132808.net.au.223.17.103.in-addr.arpa                                                  
   103.133.238.187 132808  23.349              (Brisbane, Queensland, AU, OC) iptelco.com.au                                                                                      
