   193.201.40.210  24796   0.0                          (Rome, Lazio, IT, EU) it-rom-as24796.anchors.atlas.ripe.net                                                               
   193.201.40.209  24796   0.261                        (Rome, Lazio, IT, EU)                                                                                                     
   213.254.31.97   12779   0.939                        (Rome, Lazio, IT, EU) if-0-1-0-2-705.centurion.rom.itgate.net                                                             
   213.254.31.248  12779   9.241                    (Turin, Piedmont, IT, EU) if-0-0-0-5.scooby-monster.core.trn.itgate.net                                                       
   46.33.86.65     3257    9.288                    (Turin, Piedmont, IT, EU) xe-5-2-2.cr0-trn3.ip4.gtt.net                                                                       
   89.149.132.193  3257    10.13                    (Milan, Lombardy, IT, EU) ae2.cr6-mil2.ip4.gtt.net                                                                            
   213.254.220.58  3257    9.496                   (Figino, Lombardy, IT, EU) ip4.gtt.net                                                                                         
   195.22.218.199  6762    24.184                     (Palermo, None, IT, EU) ae1.palermo4.pal.seabone.net                                                                        
   213.144.186.82  42473   24.061                       (Palermo, 82, IT, EU) dcr01.anx35.pmo.it.anexia-it.net                                                                    
   37.252.253.18   42473   24.146                   (Palermo, Sicily, IT, EU)                                                                                                     
