   103.242.68.78   133075  0.0                   (Auckland, Auckland, NZ, OC) 103-242-68-78.broadband.telesmart.co.nz                                                             
   103.242.68.65   133075  0.622                    (Wellington, WGN, NZ, OC) *                                                                                                   
   131.203.72.165  9790    0.976                 (Auckland, Auckland, NZ, OC) default-rdns.vocus.co.nz                                                                            
   131.203.72.166  9790    1.116                 (Auckland, Auckland, NZ, OC) default-rdns.vocus.co.nz                                                                            
   ***             *       -inf                                           *** *                                                                                                   
   101.98.5.170    9790    24.731                     (Auckland, AUK, NZ, OC) default-rdns.vocus.co.nz                                                                            
╭─ 101.98.5.171    4826    24.813                     (Auckland, AUK, NZ, OC) default-rdns.vocus.co.nz                                                                            
S (4826, 3356)  
╰─ 8.245.130.50    3356    24.283           (Sydney, New South Wales, AU, OC)                                                                                                     
   103.110.178.244 9268    24.26            (Sydney, New South Wales, AU, OC) welcometoaussiebroadband.syd.otw.net.au                                                             
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   119.17.170.244  9268    25.005           (Sydney, New South Wales, AU, OC) gen-119-17-170-244.ptr4.otw.net.au                                                                  
