   5.180.228.37    8637    0.0                       (Madrid, Madrid, ES, EU) 5.180.228.37.core.madrid.spainwisp.com                                                              
   5.180.228.33    8637    0.378                     (Madrid, Madrid, ES, EU) 5.180.228.33.core.madrid.spainwisp.com                                                              
   213.249.120.209 3356    1.795                     (Madrid, Madrid, ES, EU) et-6-0-4-0.edge1.madrid1.level3.net                                                                 
   213.242.114.122 3356    1.566                     (Madrid, Madrid, ES, EU) serveisweb.bar2.barcelona1.level3.net                                                               
   130.206.245.25  766     1.641                         (None, None, ES, EU) ciemat.rt2.ethtrunk1.telmad.rt1.mad.red.rediris.es                                                  
   130.206.216.2   766     1.834                         (None, None, ES, EU) redimadrid-backup-router.red.rediris.es                                                             
   193.145.15.50   766     2.183                         (None, None, ES, EU) uc3m-rt-ju-01-xe-0-1-0.net.redimadrid.es                                                            
   ***             *       -inf                                           *** *                                                                                                   
   163.117.49.4    766     2.564                         (Madrid, MD, ES, EU) b01014zr.uc3m.es                                                                                    
   163.117.253.5   766     2.901                     (Madrid, Madrid, ES, EU)                                                                                                     
