   217.243.179.165 3320    0.0              (New York City, New York, US, NA)                                                                                                     
   217.243.179.164 3320    1.287            (New York City, New York, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   154.54.3.125    174     1.198                       (New York, NY, US, NA) be3363.ccr42.jfk02.atlas.cogentco.com                                                               
   154.54.46.33    174     6.864                         (Boston, MA, US, NA) be3472.ccr32.bos01.atlas.cogentco.com                                                               
   154.54.87.102   174     6.621                         (Boston, MA, US, NA) be3663.agr21.bos01.atlas.cogentco.com                                                               
   38.140.158.2    10961   6.33                       (Cambridge, MA, US, NA) *                                                                                                   
   192.5.208.233   10961   11.347                        (None, None, US, NA) comm595-tunnel-gw01-po1938-futurerouter.bu.edu                                                      
   128.197.255.155 111     11.965             (Boston, Massachusetts, US, NA)                                                                                                     
   204.8.154.50    10961   12.204             (Boston, Massachusetts, US, NA) cs-atlas.bu.edu                                                                                     
