   89.190.1.74     199087  0.0       (Lestijärvi, Central Ostrobothnia, FI, EU) dynamic-74-1.kasenet.fi                                                                             
   89.190.1.65     199087  0.812     (Kaustinen, Central Ostrobothnia, FI, EU) vmw1-gw.kasenet.fi                                                                                  
   89.190.2.242    199087  0.829     (Kaustinen, Central Ostrobothnia, FI, EU) dynamic-242-2.kasenet.fi                                                                            
   87.236.158.62   47605   11.815                 (Helsinki, Uusimaa, FI, EU)                                                                                                     
   87.236.154.174  47605   11.674                 (Helsinki, Uusimaa, FI, EU)                                                                                                     
   85.194.195.43   47605   12.506                        (None, None, FI, EU) *                                                                                                   
   95.175.96.10    49282   12.628                 (Helsinki, Uusimaa, FI, EU) 0000-rsegd-opa.mgmt.fi.ficolo.net                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   95.175.96.76    49282   16.426                       (Tampere, 11, FI, EU) *                                                                                                   
   95.175.97.22    49282   16.597                   (Pori, Satakunta, FI, EU)                                                                                                     
