   37.10.41.14     202196  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   37.10.41.9      202196  0.457               (Singapore, Singapore, SG, AS)                                                                                                     
   210.57.30.93    4637    1.573               (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.219.174  4637    79.026              (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.219.174  4637    79.026              (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
╭─ 202.84.207.190  4637    78.101              (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
S (4637)  
╰─ 202.84.204.41   4637    78.487                      (Dubai, Dubai, AE, AS) i-103.uddm01.telstraglobal.net                                                                      
   217.151.46.27   4637    77.884                      (Dubai, Dubai, AE, AS) unknown.telstraglobal.net                                                                           
   156.154.53.254  12008   77.918                      (Dubai, Dubai, AE, AS)                                                                                                     
